"SalesID","SalePrice","MachineID","ModelID","datasource","auctioneerID","YearMade","MachineHoursCurrentMeter","UsageBand","saledate","fiModelDesc","fiBaseModel","fiSecondaryDesc","fiModelSeries","fiModelDescriptor","ProductSize","fiProductClassDesc","state","ProductGroup","ProductGroupDesc","Drive_System","Enclosure","Forks","Pad_Type","Ride_Control","Stick","Transmission","Turbocharged","Blade_Extension","Blade_Width","Enclosure_Type","Engine_Horsepower","Hydraulics","Pushblock","Ripper","Scarifier","Tip_Control","Tire_Size","Coupler","Coupler_System","Grouser_Tracks","Hydraulics_Flow","Track_Type","Undercarriage_Pad_Width","Stick_Length","Thumb","Pattern_Changer","Grouser_Type","Backhoe_Mounting","Blade_Type","Travel_Controls","Differential_Type","Steering_Controls"
1734777,30500,1138979,8987,132,4,1978,NA,"","2/1/1989 0:00","D155","D155","","","","Large","Track Type Tractor, Dozer - 260.0 + Horsepower","Florida","TTT","Track Type Tractors","","OROPS","","","","","Powershift","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","Straight","None or Unspecified","",""
1452428,32500,1144254,3854,132,23,1973,NA,"","2/3/1996 0:00","966C","966","C","","","Medium","Wheel Loader - 150.0 to 175.0 Horsepower","Pennsylvania","WL","Wheel Loader","","EROPS","None or Unspecified","","None or Unspecified","","","","","","","","2 Valve","","","","","None or Unspecified","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
4370685,5000,2285008,9550,172,1,1993,886,"Low","9/27/2011 0:00","753","753","","","","","Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity","North Carolina","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Auxiliary","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","Standard","","","","","","","","","","",""
1276307,12000,1416481,3217,132,1,2002,NA,"","8/20/2009 0:00","70XT","70","XT","","","","Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity","Colorado","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Standard","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","Standard","","","","","","","","","","",""
1620401,17000,1147819,4685,132,2,1988,NA,"","8/1/1998 0:00","510C","510","C","","","","Backhoe Loader - 16.0 + Ft Standard Digging Depth","Ohio","BL","Backhoe Loaders","Two Wheel Drive","EROPS","None or Unspecified","None or Unspecified","No","Standard","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
2206247,21500,1744365,3177,136,NA,1994,3046,"Low","11/29/2007 0:00","580SUPER K","580","SUPER K","","","","Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth","Illinois","BL","Backhoe Loaders","Two Wheel Drive","EROPS","None or Unspecified","None or Unspecified","No","Extended","Standard","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
4245909,39000,2269575,25144,172,1,2006,2214,"Medium","3/24/2010 0:00","850KII XLT","850","K","II"," XLT","","Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower","Texas","TTT","Track Type Tractors","","EROPS w AC","","","","","Standard","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","PAT","None or Unspecified","",""
2744873,8000,1216595,18004,149,1,2004,2630,"Medium","4/13/2011 0:00","135","135","","","","","Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity","Texas","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Auxiliary","","","","","","Manual","Yes","None or Unspecified","Standard","","","","","","","","","","",""
2348602,8750,1768065,4604,136,99,1998,3578,"Medium","12/10/2009 0:00","310E","310","E","","","","Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth","California","BL","Backhoe Loaders","Two Wheel Drive","OROPS","None or Unspecified","None or Unspecified","No","Extended","Powershuttle","None or Unspecified","","","","","","","","","","","","","","","","","","","","","","","","",""
1580568,11500,1364758,8215,132,1,1000,NA,"","6/20/2006 0:00","570","570","","","","","Skid Steer Loader - 976.0 to 1251.0 Lb Operating Capacity","Washington","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Standard","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","Standard","","","","","","","","","","",""
1754032,23000,318504,265,132,1,1993,NA,"","3/26/2002 0:00","D65PX-12","D65","PX","-12","","Large","Track Type Tractor, Dozer - 190.0 to 260.0 Horsepower","Maryland","TTT","Track Type Tractors","","OROPS","","","","","Standard","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","Straight","None or Unspecified","",""
1172705,73000,1038147,4702,121,3,2006,140,"Low","7/16/2009 0:00","544J","544","J","","","","Wheel Loader - 120.0 to 135.0 Horsepower","Utah","WL","Wheel Loader","","EROPS w AC","None or Unspecified","","None or Unspecified","","","","","","","","2 Valve","","","","","20.5","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
1791371,6500,1437179,9559,132,21,1000,NA,"","5/9/1996 0:00","825","825","","","","","Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity","Maine","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Standard","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","Standard","","","","","","","","","","",""
6315519,10000,1847148,36267,149,2,2007,NA,"","12/30/2011 0:00","L170","L170","","","","","Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity","New York","SSL","Skid Steer Loaders","","OROPS","None or Unspecified","","","","","","","","","","Auxiliary","","","","","","None or Unspecified","None or Unspecified","None or Unspecified","Standard","","","","","","","","","","",""
2338057,31000,1744429,4700,136,NA,1993,0,"","8/9/2008 0:00","544G","544","G","","","","Wheel Loader - 120.0 to 135.0 Horsepower","Florida","WL","Wheel Loader","","EROPS","None or Unspecified","","None or Unspecified","","","","","","","","2 Valve","","","","","None or Unspecified","None or Unspecified","","","","","","","","","","","","","Standard","Conventional"
1759453,10000,1491290,147,132,1,1000,NA,"","2/23/2006 0:00","D20P-7","D20","P","-7","","","Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower","Florida","TTT","Track Type Tractors","","OROPS","","","","","Standard","","","","","","2 Valve","","None or Unspecified","","","","","","","","","","","","","","None or Unspecified","PAT","None or Unspecified","",""
1689758,69000,1177092,11617,132,8,2001,NA,"","10/12/2006 0:00","EX330LC","EX330","","","LC","Large / Medium","Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons","Florida","TEX","Track Excavators","","EROPS w AC","","","","","","","","","","","Standard","","","","","","None or Unspecified","","","","Steel","None or Unspecified","None or Unspecified","None or Unspecified","None or Unspecified","Double","","","","",""
